Date,Reliance,Kotak Bank,HDFC Bank,Baj Finance,TITAN,L & T,TATA Motors,Britannia,Asian Paint
2016/11/02,507.068512,804,623.075012,1019.849976,377.600006,965.766663,513.299988,1651.300049,1062.75
2016/11/03,507.167572,806,627.474976,1030.849976,377.200012,962.799988,510.200012,1650.75,1037.150024
2016/11/04,498.053955,799.650024,621.849976,993.150024,369.049988,946.533325,512.299988,1651,1043.050049
2016/11/07,495.874603,801.849976,624.724976,990.400024,370.5,932,506.350006,1651.275024,1037.349976
2016/11/08,497.038574,811.799988,627.150024,983.700012,371.149994,931.466675,540.200012,1617.775024,1057
2016/11/09,497.583405,822.099976,625.625,929.150024,348.799988,926.966675,533.5,1562.099976,1050.949951
2016/11/10,500.456177,819.25,639.275024,929.200012,349.350006,941.400024,533.700012,1602.074951,1011.299988
2016/11/11,496.171783,815.599976,637.900024,858.099976,334.950012,925.866638,507.299988,1539.675049,962.299988
2016/11/15,488.073547,789.549988,627.375,815.049988,329.399994,913.533325,457.399994,1464.675049,890.799988
2016/11/16,488.643158,770.549988,622.174988,899.799988,320.299988,917.033325,458.450012,1495.5,935.700012
2016/11/17,484.284454,776.25,615.099976,871.150024,315.899994,914,472.850006,1467.525024,918.450012
2016/11/18,489.113678,779.25,605.700012,878.400024,303.299988,913.633362,471.25,1451.300049,908.200012
2016/11/21,491.09491,762.700012,599.349976,832.200012,304.100006,898.599976,456.950012,1447.150024,900
2016/11/22,496.023193,769.599976,599.025024,858,306.899994,886.366638,464.850006,1453.025024,907.75
2016/11/23,499.762756,766.150024,592.375,850.25,312.5,904.833313,471.5,1483.875,942.049988
2016/11/24,489.039398,742.099976,582.75,820.700012,307.549988,899.766663,452.950012,1471.275024,936.099976
2016/11/25,492.18457,752.150024,594.650024,877.900024,316.149994,913.799988,452.350006,1481,945.450012
2016/11/28,488.692688,750.150024,592.224976,879.25,306.549988,904.633362,454.700012,1485.25,936.099976
2016/11/29,494.165802,745.400024,589.375,907.25,313.850006,901.633362,459.850006,1502.724976,958.549988
2016/11/30,490.376709,755.450012,599.799988,919.799988,323.5,921.833313,459.299988,1516.449951,969.900024
2016/12/01,494.190552,744.950012,598.625,914.200012,324.899994,925.56665,448.200012,1501.675049,939.150024
2016/12/02,492.704651,723.549988,594.549988,886.5,313.200012,907.900024,432.899994,1488.400024,904.849976
2016/12/05,492.258881,729.799988,598.174988,902.25,325.850006,904.099976,439.299988,1533.199951,937.650024
2016/12/06,497.880585,734,597.224976,898.049988,323.5,908.099976,441.100006,1502.224976,934.150024
2016/12/07,494.884003,734.349976,590.799988,891.049988,324.200012,902.533325,445.350006,1497.375,932.200012
2016/12/08,505.23587,748.650024,599.75,911.549988,326.600006,911.299988,461.549988,1519.375,936.150024
2016/12/09,509.644073,745.25,599.150024,896.349976,326.549988,908.133362,464.100006,1512.675049,941.75
2016/12/12,508.777313,729.849976,592.224976,843.599976,321.700012,909.966675,454.399994,1488.525024,910.25
2016/12/13,515.018127,730.950012,593.125,836.75,320.049988,917.133362,470.649994,1469.324951,906.75
2016/12/14,524.775635,727.799988,587.849976,848.75,322.149994,906.633362,472.350006,1470.824951,914.349976
2016/12/15,521.531433,724.75,588.299988,853.799988,315.350006,904.56665,463.200012,1460.099976,903
2016/12/16,523.611694,719.099976,591.150024,850.799988,321.700012,907.06665,473.149994,1447.650024,899.900024
2016/12/19,526.286316,719.650024,588.375,822.900024,316.850006,896.633362,471.799988,1449.800049,878.400024
2016/12/20,523.983154,718.349976,590.950012,805.799988,317.950012,903.666687,473.149994,1436.050049,865.700012
2016/12/21,526.633057,719.799988,590,788.599976,319.700012,894.666687,468.5,1423.849976,865.549988
2016/12/22,521.729553,713.150024,586.549988,765.400024,309.799988,876.43335,469.600006,1405.324951,870.299988
2016/12/23,523.685974,711.75,593.125,808.950012,314.299988,891.633362,465.649994,1415.599976,874
2016/12/26,518.807251,711.049988,587.5,810,307.850006,891.733337,457.850006,1403.650024,867.799988
2016/12/27,527.351257,712.150024,592.599976,809.75,316.350006,903.733337,466.950012,1413.425049,876
2016/12/28,519.921692,713.049988,593.375,820.200012,314.25,899.966675,463.350006,1419.800049,875.700012
2016/12/29,527.722717,713.400024,602.599976,833.349976,320.950012,892.799988,470.899994,1441.574951,880.049988
2016/12/30,536.118164,719.700012,603.099976,842.200012,326.799988,899.400024,472,1443.150024,891.049988
2017/01/02,537.455444,714.799988,598.549988,870.049988,333.950012,906.400024,487.049988,1443.224976,904.650024
2017/01/03,539.585266,711.75,594.950012,884,348.149994,911.466675,481.100006,1436.125,896.599976
2017/01/04,528.564758,695.599976,592.75,871.900024,359.649994,917.733337,486.649994,1426.199951,906.599976
2017/01/05,533.641602,698.950012,593.099976,899.75,358.049988,928.200012,502.149994,1432.900024,916.5
2017/01/06,532.428101,716.849976,596.825012,878.450012,355.200012,927.299988,497.75,1447.474976,929.5
2017/01/09,533.790222,709.25,597.599976,878.25,354.600006,920.43335,500.149994,1448.949951,910.099976
2017/01/10,539.808167,712.650024,607.174988,899.75,361.450012,925,516.25,1440.400024,923.599976
2017/01/11,537.926025,728.400024,617,896.150024,360.75,941.56665,519.25,1485.050049,934.650024
2017/01/12,536.563904,727.950012,617.5,891.200012,363.700012,966.233337,518.25,1473.900024,933.549988
2017/01/13,540.080566,727.75,616.25,900.049988,358.350006,959.166687,514.849976,1470,933.25
2017/01/16,533.072021,731.200012,623.825012,917.700012,362.850006,961.866638,526.400024,1482.875,935.25
2017/01/17,515.736328,726,619.25,914.349976,359.950012,963.833313,523.700012,1506.775024,960.150024
2017/01/18,511.427185,731.099976,621.299988,930.349976,367,968.299988,522.450012,1545.775024,963.349976
2017/01/19,511.996796,728.200012,618.150024,926.299988,372.700012,966.299988,531.450012,1553.974976,962.700012
2017/01/20,508.083862,723.049988,618.174988,907.700012,360.700012,943.166687,523.200012,1539.150024,967.200012
2017/01/23,503.180359,732.75,622.325012,929.650024,363.950012,929.033325,532.700012,1546.550049,964.700012
2017/01/24,508.826843,743.349976,633.775024,929.75,364.350006,946.533325,541.549988,1574.175049,973.450012
2017/01/25,503.873779,795.200012,645.299988,999.849976,372.149994,966.5,548.900024,1567.449951,977.700012
2017/01/27,507.737152,785.049988,645.950012,995.849976,372.799988,959.93335,541.950012,1551.474976,969.599976
2017/01/30,517.49469,775.599976,642.474976,1054.800049,371.450012,961.866638,532.299988,1572.849976,973.200012
2017/01/31,517.69281,774.150024,643.325012,1036.900024,362.049988,964.166687,523.549988,1565.224976,970.700012
2017/02/01,519.896912,777.049988,652.849976,1066.150024,369.950012,993.5,542.25,1617.375,991
2017/02/02,516.850769,770.400024,649.349976,1054.150024,389.299988,984.333313,531.5,1615.5,989
2017/02/03,511.972015,765.299988,655.525024,1047.349976,379.75,987.133362,522.599976,1615.425049,985.900024
2017/02/06,515.934448,766.700012,657.049988,1073.699951,391.049988,989.200012,525.849976,1642.5,992.5
2017/02/07,510.609924,773.349976,653.575012,1060.949951,393.450012,1000.200012,506.799988,1615.300049,999.299988
2017/02/08,507.761932,767.599976,652.825012,1049.449951,425.600006,1004.56665,513.049988,1616.5,997.700012
2017/02/09,511.526245,769.650024,648.825012,1040.849976,427,993.799988,512.849976,1612.974976,1002.849976
2017/02/10,510.238434,778.900024,651.799988,1055.449951,432,1001.299988,509.549988,1619.675049,993.049988
2017/02/13,510.089844,793.150024,655.099976,1058.949951,428.350006,1000.099976,505.299988,1635.849976,984.75
2017/02/14,519.971191,790.299988,655.549988,1059.5,428.350006,995.06665,482.049988,1612.224976,980.799988
2017/02/15,520.714172,784.299988,661.099976,1040.400024,412.450012,986.666687,436.450012,1597.175049,981.700012
2017/02/16,528.738098,792.5,663.950012,1094.349976,424,980.166687,446,1615.375,969.900024
2017/02/17,532.7005,796.5,688.525024,1089.5,431.5,985.333313,452.950012,1623.875,960.799988
2017/02/20,532.651001,797.049988,704.549988,1095.900024,434.450012,988.43335,455.450012,1628.449951,975.75
2017/02/21,538.990906,797.900024,707.775024,1095.900024,457.299988,988.866638,458.649994,1619.525024,991.5
2017/02/22,598.080811,795.849976,699.575012,1076.25,440,984.633362,460.049988,1619.349976,1020.299988
2017/02/23,585.822021,810.950012,697.150024,1068.199951,432.950012,991.06665,462.350006,1613.5,1009
2017/02/27,613.633362,800.5,696.799988,1091.599976,435.350006,977.233337,457.799988,1629.550049,1001.950012
2017/02/28,613.212341,802.099976,695.049988,1108.199951,437.200012,979.466675,456.75,1614.699951,1024.199951
2017/03/01,611.454041,824.150024,695.825012,1075.849976,438.149994,984.099976,449.450012,1590.5,1032.75
2017/03/02,612.568481,816.150024,690.049988,1048.75,430.450012,982.633362,461.700012,1557.074951,1028.75
2017/03/03,623.366089,809.5,688.5,1046.25,439.850006,980.233337,459.950012,1548.375,1013.700012
2017/03/06,646.546387,818.950012,690.375,1033.949951,438.049988,990.400024,470.799988,1543,1029.400024
